,NAME,PRICE
0,Nike Air Force 1 '07Men's Shoes,"₹ 8,195"
1,Nike Air Force 1 '07Men's Shoe,"₹ 7,495"
2,Nike Court Vision Low PremiumMen's Shoes,"₹ 5,995"
3,Nike ZoomX Vaporfly Next% x GyakusouRunning Shoes,"₹ 24,995"
4,Nike Air Force 1 '07 CraftMen's Shoe,"₹ 10,295"
5,Nike Waffle OneMen's Shoes,"₹ 8,295"
6,Nike Air Max 90Men's Shoes,"₹ 10,295"
7,Nike Blazer Low '77 PRMMen's Shoe,"₹ 8,295"
8,Nike Blazer Mid '77Men's Shoe,"₹ 9,295"
9,Jordan Delta 2Men's Shoe,"₹ 11,495"
10,Jordan Air NFHShoes,"₹ 9,295"
11,Nike Air Max 95Men's Shoes,"₹ 14,495"
12,Jordan Why Not? Zer0.4 PFBasketball Shoe,"₹ 11,495"
13,Nike Air HuaracheMen's Shoes,"₹ 10,295"
14,Nike On DeckMen's Flip-Flop,"₹ 1,695"
15,Kyrie Flytrap 4 EPBasketball Shoe,"₹ 8,195"
16,Nike Air Force 1 '07 LV8Men's Shoe,"₹ 8,295"
17,Nike Venture RunnerMen's Shoes,"₹ 5,495"
18,Nike Air Max 90 SEMen's Shoes,"₹ 11,495"
19,Nike Air Max 97 SEMen's Shoes,"₹ 16,595"
20,Nike Air Max Pre-Day LXMen's Shoe,"₹ 12,495"
21,Nike Air Force 1 '07 PremiumShoes,"₹ 11,495"
22,Nike OffcourtMen's Slides,"₹ 2,995"
23,Nike Waffle Trainer 2Men's Shoe,"₹ 8,295"
